State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Banaskanth,Vadgam,Wheat,"147 Average",FAQ,19/08/2025,2655,2655,2655
Gujarat,Bharuch,Jambusar(Kaavi),"Bajra(Pearl Millet/Cumbu)",Other,FAQ,19/08/2025,2000,2200,2100
Gujarat,Bhavnagar,Taleja,"Black Gram (Urd Beans)(Whole)",Local,FAQ,19/08/2025,6630,6630,6630
Gujarat,Botad,Botad,"Bengal Gram(Gram)(Whole)",Other,Non-FAQ,19/08/2025,4375,5780,5050
Gujarat,Botad,Botad,"Corriander seed",Other,FAQ,19/08/2025,4450,4450,4450
Gujarat,Botad,Botad,Jowar(Sorghum),Other,Non-FAQ,19/08/2025,3150,4055,3650
Gujarat,"Chhota Udaipur","Hadad    ",Cotton,"Shanker 6 (B) 30mm FIne",FAQ,19/08/2025,6800,6975,6900
Gujarat,Dahod,Dahod,Paddy(Dhan)(Common),"Paddy Coarse",Non-FAQ,19/08/2025,1690,1690,1690
Gujarat,Dahod,Dahod,Wheat,"147 Average",FAQ,19/08/2025,2800,2850,2825
Gujarat,Dahod,Dahod,Wheat,Wheat,FAQ,19/08/2025,2760,2765,2760
Gujarat,Dahod,"Dahod(Veg. Market)",Cabbage,Cabbage,FAQ,19/08/2025,800,1500,1150
Gujarat,Dahod,"Dahod(Veg. Market)",Cauliflower,Cauliflower,FAQ,19/08/2025,500,3000,1850
Gujarat,Dahod,"Dahod(Veg. Market)",Cowpea(Veg),"Cowpea (Veg)",FAQ,19/08/2025,1000,6000,3500
Gujarat,Dahod,"Dahod(Veg. Market)","Elephant Yam (Suran)",Other,FAQ,19/08/2025,4000,4000,4000
Gujarat,Dahod,"Dahod(Veg. Market)",Ginger(Green),"Green Ginger",FAQ,19/08/2025,2500,6000,4250
Gujarat,Dahod,"Dahod(Veg. Market)","Onion Green","Onion Green",FAQ,19/08/2025,1500,3500,2500
Gujarat,Dahod,Davgadbaria(Piplod),Paddy(Dhan)(Common),Common,Non-FAQ,19/08/2025,1580,1600,1590
Gujarat,Dahod,Limkheda,Maize,Other,FAQ,19/08/2025,2350,2400,2375
Gujarat,Dahod,Limkheda,Wheat,Other,FAQ,19/08/2025,2400,2600,2500
Gujarat,"Devbhumi Dwarka","Jam Khambalia","Cummin Seed(Jeera)",Other,FAQ,19/08/2025,15500,17825,16500
Gujarat,Gandhinagar,Dehgam,Wheat,Other,FAQ,19/08/2025,2540,2700,2620
Gujarat,Jamnagar,Kalawad,"Methi Seeds",Other,FAQ,19/08/2025,3500,4350,4120
Gujarat,Kheda,Kapadvanj,"Bottle gourd",Other,FAQ,19/08/2025,200,700,450
Gujarat,Kheda,Kapadvanj,Cabbage,Other,FAQ,19/08/2025,1000,1200,1100
Gujarat,Kheda,Kapadvanj,Wheat,Other,FAQ,19/08/2025,2550,2625,2587
Gujarat,Kheda,Nadiyad(Chaklasi),Coriander(Leaves),Coriander,FAQ,19/08/2025,1300,1500,1400
Gujarat,Kheda,Nadiyad(Chaklasi),Potato,Potato,Non-FAQ,19/08/2025,900,1000,950
Gujarat,Kheda,Nadiyad(Chaklasi),Tomato,Tomato,FAQ,19/08/2025,1700,1800,1750
Gujarat,Kheda,Nadiyad(Piplag),Cauliflower,Cauliflower,FAQ,19/08/2025,2000,2500,2100
Gujarat,Kheda,Nadiyad(Piplag),Cowpea(Veg),"Cowpea (Veg)",FAQ,19/08/2025,2000,2500,2300
Gujarat,Kheda,Nadiyad(Piplag),Onion,Onion,FAQ,19/08/2025,1600,2000,1800
Gujarat,Kheda,Nadiyad(Piplag),"Sponge gourd","Sponge gourd",FAQ,19/08/2025,800,900,850
Gujarat,Kheda,Nadiyad(Piplag),Tomato,Tomato,Non-FAQ,19/08/2025,1500,1800,1650
Gujarat,Mehsana,Kadi,"Barley (Jau)",Deshi,FAQ,19/08/2025,2500,2500,2500
Gujarat,Mehsana,Kadi,Soanf,Other,FAQ,19/08/2025,5805,6750,6400
Gujarat,Navsari,Navsari,"Bottle gourd","Bottle Gourd",FAQ,19/08/2025,500,1500,1000
Gujarat,Navsari,Navsari,Cabbage,Cabbage,FAQ,19/08/2025,800,1600,1200
Gujarat,Navsari,Navsari,Cowpea(Veg),"Cowpea (Veg)",FAQ,19/08/2025,3000,3750,3375
Gujarat,Navsari,Navsari,"Green Chilli","Green Chilly",FAQ,19/08/2025,2500,5000,3750
Gujarat,Navsari,Navsari,Methi(Leaves),Methi,FAQ,19/08/2025,3500,4000,3750
Gujarat,Navsari,Navsari,Potato,"(Red Nanital)",FAQ,19/08/2025,900,1900,1400
Gujarat,Panchmahals,"Morva Hafad",Paddy(Dhan)(Common),Paddy,FAQ,19/08/2025,1500,2100,1800
Gujarat,Patan,Sami,Ajwan,Ajwan,FAQ,19/08/2025,7000,8750,7500
Gujarat,Patan,Sami,"Isabgul (Psyllium)","Isabgul (Psyllium)",FAQ,19/08/2025,7250,9250,8500
Gujarat,Porbandar,Porbandar,Banana,Amruthapani,Large,19/08/2025,1500,2500,2000
Gujarat,Porbandar,Porbandar,"Bhindi(Ladies Finger)",Bhindi,FAQ,19/08/2025,2000,3000,2500
Gujarat,Porbandar,Porbandar,Brinjal,"Arkasheela Mattigulla",FAQ,19/08/2025,750,1250,1000
Gujarat,Porbandar,Porbandar,Coriander(Leaves),Coriander,FAQ,19/08/2025,3000,4000,3500
Gujarat,Porbandar,Porbandar,"Mousambi(Sweet Lime)",Mousambi,Large,19/08/2025,2500,3500,3000
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Apple,Apple,Medium,19/08/2025,6000,12000,9000
Gujarat,Rajkot,"Gondal(Veg.market Gondal)","Green Chilli","Green Chilly",FAQ,19/08/2025,400,2000,1200
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Lemon,Other,FAQ,19/08/2025,1000,3000,2000
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Pumpkin,Pumpkin,FAQ,19/08/2025,500,1000,750
Gujarat,Rajkot,Jasdan,"Arhar (Tur/Red Gram)(Whole)",Other,FAQ,19/08/2025,4500,5675,5500
Gujarat,Rajkot,Jasdan,"Ground Nut Seed","Ground Nut Seed",FAQ,19/08/2025,105,134.4,125
Gujarat,Rajkot,Jasdan,Soyabean,Other,FAQ,19/08/2025,3700,3800,3750
Gujarat,Rajkot,Rajkot,"Bajra(Pearl Millet/Cumbu)",Deshi,FAQ,19/08/2025,1850,2105,1900
Gujarat,Rajkot,Rajkot,"Corriander seed","A-1, Green",FAQ,19/08/2025,6950,7350,7200
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)","Bottle gourd","Bottle Gourd",FAQ,19/08/2025,500,1000,750
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Ginger(Green),"Green Ginger",FAQ,19/08/2025,1500,5500,3500
Gujarat,Sabarkantha,Himatnagar,"Bajra(Pearl Millet/Cumbu)",Local,FAQ,19/08/2025,2625,2645,2645
Gujarat,Sabarkantha,Himatnagar,"Guar Seed(Cluster Beans Seed)",Other,FAQ,19/08/2025,4500,5000,4800
Gujarat,Sabarkantha,Himatnagar,Soyabean,Yellow,Non-FAQ,19/08/2025,4500,4650,4600
Gujarat,Surat,Surat,"Bottle gourd",Other,FAQ,19/08/2025,2000,4000,3000
Gujarat,Surat,Surat,Cucumbar(Kheera),Other,FAQ,19/08/2025,1000,2500,1750
Gujarat,Surat,Surat,Drumstick,Other,FAQ,19/08/2025,2000,4000,3000
Gujarat,Surat,Surat,"French Beans (Frasbean)",Other,FAQ,19/08/2025,3000,5000,4000
Gujarat,Surat,Surat,Ginger(Green),Other,FAQ,19/08/2025,2000,6500,4250
Gujarat,Surat,Surat,"Groundnut pods (raw)",Other,FAQ,19/08/2025,3000,4000,3500
Gujarat,Surat,Surat,Onion,Other,FAQ,19/08/2025,700,2100,1400
Gujarat,Surat,Surat,Tomato,Other,FAQ,19/08/2025,2500,5500,4000
Gujarat,Surendranagar,Vadhvan,Amaranthus,Amaranthus,FAQ,19/08/2025,1000,1500,1250
Gujarat,Surendranagar,Vadhvan,"Bitter gourd","Bitter Gourd",FAQ,19/08/2025,500,1000,750
Gujarat,Surendranagar,Vadhvan,Cauliflower,Cauliflower,FAQ,19/08/2025,1500,2000,1750
Gujarat,Surendranagar,Vadhvan,Coriander(Leaves),Coriander,FAQ,19/08/2025,500,1000,750
Gujarat,Surendranagar,Vadhvan,Guar,Gwar,FAQ,19/08/2025,1500,2000,1750
Gujarat,Surendranagar,Vadhvan,Tinda,Tinda,FAQ,19/08/2025,3500,4500,4000
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,19/08/2025,3250,3500,3400
Gujarat,Vadodara(Baroda),Padra,Drumstick,Other,FAQ,19/08/2025,3500,4000,3750
Gujarat,Vadodara(Baroda),Padra,Lemon,Other,FAQ,19/08/2025,3500,4500,4000
Gujarat,Vadodara(Baroda),Padra,"Sponge gourd",Other,FAQ,19/08/2025,250,300,275
Haryana,Ambala,Barara,Banana,Other,Medium,19/08/2025,2200,2500,2200
Haryana,Ambala,Barara,Cauliflower,Other,FAQ,19/08/2025,700,700,700
Haryana,Ambala,Barara,Colacasia,Colacasia,FAQ,19/08/2025,1200,1500,1200
Haryana,Ambala,Barara,Cucumbar(Kheera),Other,FAQ,19/08/2025,700,700,700
Haryana,Ambala,Barara,"Green Chilli",Other,FAQ,19/08/2025,1500,2000,1500
Haryana,Ambala,Barara,Guava,Other,Medium,19/08/2025,2500,2500,2500
Haryana,Ambala,Barara,Pineapple,Other,Medium,19/08/2025,3000,3500,3000
Haryana,Ambala,Barara,Pumpkin,Other,FAQ,19/08/2025,700,1000,700
Haryana,Ambala,Barara,Tomato,Other,Non-FAQ,19/08/2025,700,1500,1200
Haryana,Ambala,Naraingarh,Cabbage,Other,FAQ,19/08/2025,800,2000,1000
Haryana,Ambala,Naraingarh,Lemon,Other,FAQ,19/08/2025,3000,3000,3000
Haryana,Ambala,Naraingarh,"Mousambi(Sweet Lime)",Mousambi,Medium,19/08/2025,2000,4000,3000
Haryana,Ambala,Naraingarh,Raddish,Raddish,FAQ,19/08/2025,600,1500,1000
Haryana,Fatehabad,Jakhal,"Bottle gourd","Bottle Gourd",FAQ,19/08/2025,1000,1000,1000
Haryana,Fatehabad,Jakhal,Potato,Other,FAQ,19/08/2025,600,900,900
Haryana,Gurgaon,Gurgaon,Onion,Other,FAQ,19/08/2025,1000,2000,1500
Haryana,Gurgaon,Gurgaon,Potato,Other,FAQ,19/08/2025,1000,1400,1200
Haryana,Gurgaon,Sohna,"Bhindi(Ladies Finger)",Bhindi,FAQ,19/08/2025,1500,2500,1800
Haryana,Gurgaon,Sohna,Onion,Onion,FAQ,19/08/2025,1400,2000,1800
Haryana,Gurgaon,Sohna,Potato,Potato,FAQ,19/08/2025,1200,1200,1200
Haryana,Gurgaon,Sohna,Pumpkin,Pumpkin,FAQ,19/08/2025,1000,1500,1200
Haryana,Hissar,Barwala(Hisar),"Mousambi(Sweet Lime)",Other,Medium,19/08/2025,3200,3500,3450
Haryana,Hissar,Barwala(Hisar),Pumpkin,Other,FAQ,19/08/2025,900,1000,950
Haryana,Hissar,Barwala(Hisar),Tomato,Other,FAQ,19/08/2025,4800,5000,4950
Haryana,Hissar,Hansi,Apple,Other,Medium,19/08/2025,5000,15000,10000
Haryana,Hissar,Hansi,"Bottle gourd",Other,FAQ,19/08/2025,1500,2000,1800
Haryana,Hissar,Hansi,"Peas Wet",Other,FAQ,19/08/2025,10000,14000,12000
Haryana,Hissar,Hansi,Raddish,Other,FAQ,19/08/2025,3000,4000,3500
Haryana,Hissar,Hansi,Ridgeguard(Tori),Other,FAQ,19/08/2025,3000,3500,3300
Haryana,Jhajar,Bahadurgarh,Carrot,Other,FAQ,19/08/2025,5000,6000,5500
Haryana,Jhajar,Bahadurgarh,Mango,Other,Medium,19/08/2025,8000,9000,8500
Haryana,Jhajar,Bahadurgarh,"Peas cod",Other,FAQ,19/08/2025,8000,10000,9000
Haryana,Jhajar,Bahadurgarh,Pomegranate,Other,Medium,19/08/2025,7500,8000,7800
Haryana,Jhajar,Bahadurgarh,Potato,Other,FAQ,19/08/2025,1000,1300,1200
Haryana,Kaithal,Dhand,Apple,Other,Medium,19/08/2025,8000,9000,8800
Haryana,Karnal,Indri,Onion,Other,FAQ,19/08/2025,1800,1800,1800
Haryana,Karnal,Indri,Potato,Other,FAQ,19/08/2025,1200,1200,1200
Haryana,Karnal,Indri,Tomato,Other,FAQ,19/08/2025,4400,4400,4400
Haryana,Kurukshetra,Ladwa,Apple,Apple,Medium,19/08/2025,3000,9000,4000
Haryana,Kurukshetra,Ladwa,"Leafy Vegetable","Leafy Vegetables",FAQ,19/08/2025,1000,1000,1000
Haryana,Kurukshetra,Ladwa,Lemon,Lemon,FAQ,19/08/2025,4000,5000,4200
Haryana,Kurukshetra,Ladwa,Pineapple,"Pine Apple",Medium,19/08/2025,2600,3000,2600
Haryana,Kurukshetra,Ladwa,Potato,Potato,FAQ,19/08/2025,1000,1200,1000
Haryana,Kurukshetra,Ladwa,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,19/08/2025,1000,1200,1000
Haryana,Kurukshetra,Shahabad,"Bitter gourd","Bitter Gourd",FAQ,19/08/2025,1700,2500,2200
Haryana,Kurukshetra,Shahabad,Capsicum,Capsicum,FAQ,19/08/2025,3000,5000,4000
Haryana,Kurukshetra,Shahabad,Carrot,Carrot,FAQ,19/08/2025,2200,2200,2200
Haryana,Kurukshetra,Shahabad,Cauliflower,Cauliflower,FAQ,19/08/2025,3000,7000,5000
Haryana,Kurukshetra,Shahabad,"Peas Wet","Peas Wet",FAQ,19/08/2025,9000,10000,9500
Haryana,Kurukshetra,Shahabad,Plum,Other,Medium,19/08/2025,6000,7000,6500
Haryana,Kurukshetra,Shahabad,Tinda,Tinda,FAQ,19/08/2025,6000,6000,6000
Haryana,Mahendragarh-Narnaul,Narnaul,Cauliflower,Cauliflower,FAQ,19/08/2025,3000,5000,4000
Haryana,Mahendragarh-Narnaul,Narnaul,"Cluster beans","Cluster Beans",FAQ,19/08/2025,5000,5000,5000
Haryana,Mahendragarh-Narnaul,Narnaul,Garlic,Garlic,FAQ,19/08/2025,10000,10000,10000
Haryana,Mahendragarh-Narnaul,Narnaul,Tinda,Tinda,FAQ,19/08/2025,2500,3500,3000
Haryana,Mahendragarh-Narnaul,Narnaul,Tomato,Tomato,Non-FAQ,19/08/2025,3000,3000,3000
Haryana,Mewat,Tauru,Cauliflower,Local,FAQ,19/08/2025,3500,3500,3500
Haryana,Mewat,Tauru,Cucumbar(Kheera),Other,FAQ,19/08/2025,1700,1700,1700
Haryana,Panchkula,"Raipur Rai",Capsicum,Capsicum,FAQ,19/08/2025,1800,2000,1800
Haryana,Panchkula,"Raipur Rai","Green Chilli",Other,FAQ,19/08/2025,3500,4000,3500
Haryana,Panipat,Madlauda,Potato,Other,FAQ,19/08/2025,1000,1000,1000
Haryana,Panipat,Panipat,Apple,Other,Medium,19/08/2025,2000,8000,5000
Haryana,Panipat,Panipat,Banana,Other,Medium,19/08/2025,2000,2400,2200
Haryana,Panipat,Panipat,Chikoos(Sapota),Other,Medium,19/08/2025,3500,3700,3600
Haryana,Panipat,Panipat,Cucumbar(Kheera),Other,FAQ,19/08/2025,800,2000,1400
Haryana,Panipat,Panipat,Onion,Other,FAQ,19/08/2025,700,1500,1100
Haryana,Panipat,Samalkha,"Bitter gourd","Bitter Gourd",FAQ,19/08/2025,2000,2000,2000
Haryana,Panipat,Samalkha,Colacasia,Colacasia,FAQ,19/08/2025,2400,2400,2400
Haryana,Panipat,Samalkha,Lemon,Lemon,FAQ,19/08/2025,6000,6000,6000
Haryana,Rewari,Kosli,"Bottle gourd","Bottle Gourd",FAQ,19/08/2025,1000,1000,1000
Haryana,Rewari,Kosli,Brinjal,Other,FAQ,19/08/2025,1000,1000,1000
Haryana,Rewari,Kosli,Pumpkin,Other,FAQ,19/08/2025,1000,1000,1000
Haryana,Rohtak,Meham,"Bhindi(Ladies Finger)",Bhindi,FAQ,19/08/2025,2000,2000,2000
Haryana,Rohtak,Rohtak,Potato,Other,FAQ,19/08/2025,800,1500,1000
Haryana,Sonipat,Ganaur,Cabbage,Cabbage,FAQ,19/08/2025,2000,2500,2200
Haryana,Sonipat,Ganaur,Lemon,Lemon,FAQ,19/08/2025,7000,8000,7500
Haryana,Sonipat,Ganaur,Pumpkin,Pumpkin,FAQ,19/08/2025,1200,1500,1400
Haryana,Sonipat,Ganaur,Tomato,Tomato,FAQ,19/08/2025,4000,5000,4500
Haryana,Sonipat,Gohana,"Banana - Green",Other,FAQ,19/08/2025,2000,3000,2200
Haryana,Sonipat,Gohana,Onion,Other,Non-FAQ,19/08/2025,1200,2500,1500
Haryana,Sonipat,Sonepat,Banana,Other,Medium,19/08/2025,3600,3800,3600
Haryana,Sonipat,Sonepat,Cucumbar(Kheera),Other,FAQ,19/08/2025,1500,3200,1500
Haryana,Sonipat,Sonepat,Potato,Other,FAQ,19/08/2025,1000,1600,1000
Haryana,"Yamuna Nagar",Chhachrauli,Colacasia,Other,FAQ,19/08/2025,1600,2000,1600
Haryana,"Yamuna Nagar",Chhachrauli,"Green Chilli","Green Chilly",FAQ,19/08/2025,6000,6000,6000
Haryana,"Yamuna Nagar",Chhachrauli,Onion,Onion,FAQ,19/08/2025,1900,2500,1900
Haryana,"Yamuna Nagar",Chhachrauli,Potato,Potato,FAQ,19/08/2025,1100,1200,1100
Haryana,"Yamuna Nagar",Jagadhri,"Bitter gourd","Bitter Gourd",FAQ,19/08/2025,1800,2000,1900
Haryana,"Yamuna Nagar",Jagadhri,Cabbage,Other,FAQ,19/08/2025,1000,1200,1100
Haryana,"Yamuna Nagar",Mustafabad,Tomato,Other,FAQ,19/08/2025,5000,5000,5000
Haryana,"Yamuna Nagar",Sadhaura,Capsicum,Capsicum,FAQ,19/08/2025,3000,5000,4000
Haryana,"Yamuna Nagar",Sadhaura,Pomegranate,Other,Large,19/08/2025,7000,10000,8000
Haryana,"Yamuna Nagar",Sadhaura,Potato,Other,FAQ,19/08/2025,700,1000,800
Haryana,"Yamuna Nagar",Sadhaura,Tomato,Other,FAQ,19/08/2025,3000,4500,4000
"Himachal Pradesh",Bilaspur,Bilaspur,Apple,"Kullu Royal Delicious",Medium,19/08/2025,5000,13000,9000
"Himachal Pradesh",Bilaspur,Bilaspur,Cauliflower,Other,FAQ,19/08/2025,3500,5000,4800
"Himachal Pradesh",Bilaspur,Bilaspur,Lemon,Other,FAQ,19/08/2025,6000,8000,7200
"Himachal Pradesh",Bilaspur,Bilaspur,Potato,Local,FAQ,19/08/2025,1200,2400,1600
"Himachal Pradesh",Bilaspur,Bilaspur,Tomato,Local,FAQ,19/08/2025,4000,6200,4800
"Himachal Pradesh",Chamba,Chamba,Cauliflower,Other,FAQ,19/08/2025,5000,5500,5250
"Himachal Pradesh",Chamba,Chamba,Guava,Other,Medium,19/08/2025,7000,7500,7250
"Himachal Pradesh",Kangra,Dharamshala,Cauliflower,Other,FAQ,19/08/2025,5500,6500,6000
"Himachal Pradesh",Kangra,Dharamshala,"Mousambi(Sweet Lime)",Other,Medium,19/08/2025,4800,5500,5150
"Himachal Pradesh",Kangra,Dharamshala,Pomegranate,Other,Medium,19/08/2025,11500,13500,12500
"Himachal Pradesh",Kangra,Dharamshala,Tomato,Other,FAQ,19/08/2025,6000,6500,6250
"Himachal Pradesh",Kangra,Kangra,Apple,Other,Medium,19/08/2025,3000,12000,8000
"Himachal Pradesh",Kangra,Kangra,Capsicum,Other,FAQ,19/08/2025,7000,7500,7200
"Himachal Pradesh",Kangra,Kangra,Cauliflower,Other,FAQ,19/08/2025,5000,6000,5500
"Himachal Pradesh",Kangra,Kangra,"Green Chilli",Other,FAQ,19/08/2025,5000,6000,5500
"Himachal Pradesh",Kangra,Kangra,Pomegranate,Other,Medium,19/08/2025,10000,12000,11000
"Himachal Pradesh",Kangra,Kangra(Baijnath),Pineapple,Other,Medium,19/08/2025,4000,5000,4500
"Himachal Pradesh",Kangra,Kangra(Baijnath),Potato,Potato,FAQ,19/08/2025,1600,2500,1800
"Himachal Pradesh",Kangra,Kangra(Baijnath),Tomato,Tomato,FAQ,19/08/2025,5600,5800,5700
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Tomato,Tomato,FAQ,19/08/2025,4800,6000,5500
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Banana,Amruthapani,Medium,19/08/2025,4000,4800,4500
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Brinjal,"Arkasheela Mattigulla",FAQ,19/08/2025,2000,2800,2400
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Capsicum,Capsicum,FAQ,19/08/2025,7000,7500,7300
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Carrot,Carrot,FAQ,19/08/2025,2400,2800,2500
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Cauliflower,"African Sarson",FAQ,19/08/2025,5000,6000,5500
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Colacasia,Colacasia,FAQ,19/08/2025,2500,2800,2600
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Pomegranate,Other,Medium,19/08/2025,10000,12000,11000
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Potato,Other,FAQ,19/08/2025,1100,1800,1400
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Pumpkin,Other,FAQ,19/08/2025,1200,2000,1500
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Tomato,Deshi,FAQ,19/08/2025,5500,6000,5700
"Himachal Pradesh",Kangra,Palampur,"Bitter gourd",Other,FAQ,19/08/2025,3800,4000,3900
"Himachal Pradesh",Kangra,Palampur,Coriander(Leaves),Coriander,FAQ,19/08/2025,25000,28000,26500
"Himachal Pradesh",Kangra,Palampur,"Mousambi(Sweet Lime)",Other,Medium,19/08/2025,6500,7000,6700
"Himachal Pradesh",Kangra,Palampur,Papaya,Other,Medium,19/08/2025,3200,3300,3250
"Himachal Pradesh",Kangra,Palampur,Potato,Other,FAQ,19/08/2025,1500,2700,2200
"Himachal Pradesh",Kullu,Bandrol,Apple,Golden,Medium,19/08/2025,1000,6500,4000
