State,Product,District,LGD Code,Category,Sector,Description,GI Status,Photo,Ministry/ Department
Andhra Pradesh,Raja Rani Dolls,Annamayya (Rayachoty),753,Tertiary,Handicraft,"Raja Rani Dolls, crafted in Rayachoty, Andhra Pradesh, reflect the rich cultural heritage of the region. Made with intricate detail and vibrant colors, these dolls depict the royal court of ancient times, showcasing the elegance and grandeur of traditional Indian attire. Each doll is a miniature masterpiece, capturing the essence of Andhra Pradesh's artistic tradition and providing a glimpse into its majestic history.",No,https://drive.google.com/file/d/191Q4yZ5UwuI2a__nhLnwzy6W51NlUHGC/view?usp=drive_link,DC Handicraft
Andhra Pradesh,Applique Work,Annamayya (Rayachoty),753,Others,Handloom,"Applique work from Rayachoty, Andhra Pradesh, is a testament to the region's artistic finesse. Skilled artisans delicately stitch vibrant fabric pieces onto a base, creating stunning motifs and designs. Each piece showcases meticulous craftsmanship and showcases the rich cultural heritage of the area. From intricate patterns to bold colors, this traditional art form brings life and beauty to a variety of textiles, making it a cherished part of Andhra Pradesh's craft legacy.",No,https://drive.google.com/file/d/1hMzn3-l-Jz3rBgU5kIEIx6bw--nV7Pb-/view?usp=drive_link,DC Handloom
Andhra Pradesh,Mandanapalle Silk Sarees,Annamayya (Rayachoty),753,Others,Handloom,"Mandanapalle Silk Sarees from Rayachoty, Andhra Pradesh, epitomize elegance and tradition. Woven with exquisite craftsmanship, these sarees feature intricate motifs and vibrant hues that reflect the cultural richness of the region. Known for their lustrous texture and timeless appeal, each saree is a masterpiece that celebrates the artistry and heritage of Andhra Pradesh's weaving tradition, making it a coveted choice for discerning saree connoisseurs.",No,https://drive.google.com/file/d/1jUDWam5Pt9sP26db6Z-qEjPCk8uhHRVR/view?usp=drive_link,DC Handloom
Andhra Pradesh,Granite Cutting and Polishing,Bapatla,750,Primary,Manufacturing,Bapatla is a small town located in the Indian state of Andhra Pradesh. It is known for its granite cutting and polishing industry. Bapatla is a major hub for granite mining and processing in the state. The town is home to a number of granite cutting and polishing units which process a wide variety of granite that are sourced from nearby quarries.,No,https://drive.google.com/file/d/1f3-pN1uHBLhTbBcDTYZ-NP2gGjCY3xQp/view?usp=drive_link,MSME
Andhra Pradesh,Cotton Bags,Bapatla,750,Secondary,Manufacturing,"Cotton bags from Bapatla, Andhra Pradesh, embody sustainability and style. Handcrafted with locally sourced cotton, these bags are eco-friendly alternatives to plastic. Each bag showcases the artisanal skill of the region, featuring durable stitching and minimalist designs. Perfect for everyday use or as thoughtful gifts, these bags promote environmental consciousness while supporting the livelihoods of local communities, making them a practical and ethical choice for conscientious consumers.",No,https://drive.google.com/file/d/1mMaU_SfpxlNnvWr8ekH3oaoJh0Ij2e72/view?usp=drive_link,MSME
Andhra Pradesh,Chirala Silk Sarees,Bapatla,750,Tertiary,Handloom,"Chirala Silk Sarees from Bapatla, Andhra Pradesh, epitomize timeless elegance. Renowned for their intricate weaving and luxurious texture, these sarees showcase exquisite craftsmanship passed down through generations. Adorned with traditional motifs and vibrant colors, each saree is a symbol of the region's rich cultural heritage and artisanal expertise. Perfect for special occasions or everyday wear, Chirala Silk Sarees are cherished for their unparalleled beauty and sophistication.",No,https://drive.google.com/file/d/1BhoRflbmHYfrgi9KM0cG5TSbZxKcgzqH/view?usp=drive_link,DC Handloom
Andhra Pradesh,Venkatagiri Sarees,Chittoor,503,Primary,Handloom,"Venkatagiri sarees are known for their fine weaving. These sarees are hand-woven and made from premium quality cotton, adorned with intricate patterns that often include gold and silver threads. Venkatagiri sarees are considered a symbol of wealth and status, and are widely sought after by women in India and exported globally.",Yes,https://drive.google.com/file/d/1gXfGSkNHUoAeztnnTW6pMaHpC3Ps2hng/view?usp=drive_link,DC Handloom
Andhra Pradesh,Mango Pulp,Chittoor,503,Secondary,Food processing,"Chittoor is a city in the Indian state of Andhra Pradesh known for its mango pulp production. The region is known for its rich soil and favorable climate conditions, making it ideal for growing a wide variety of mangoes. As a result, the district has a significant food processing industry that produces high-quality mango pulp",No,https://drive.google.com/file/d/1iJ8_U3z-jfrhjNc3eMszOqQL5leu9B8H/view?usp=drive_link,Ministry of Food Processing
Andhra Pradesh,The Glass Beads,Chittoor,503,Tertiary,Handicraft,"Glass beads from Chittoor, Andhra Pradesh, exude artistic brilliance and cultural significance. Handcrafted by skilled artisans, these beads showcase vibrant colors and intricate designs that reflect the region's rich heritage. Used in traditional jewelry and embellishments, each bead tells a story of craftsmanship and tradition, making them a cherished part of Andhra Pradesh's cultural identity. Whether adorning attire or accessories, Chittoor's glass beads add a touch of elegance and tradition to any ensemble.",No,https://drive.google.com/file/d/1ao_lQFKqHGzZte7Vdwe1rFVOJQ3XExWn/view?usp=drive_link,DC Handicraft
Andhra Pradesh,Kollangantu Tie &Dye Check Lungies,Chittoor,503,Others,Textile,"Kollangantu Tie & Dye Check Lungies from Chittoor, Andhra Pradesh, are a fusion of traditional artistry and contemporary style. Crafted using a unique tie-and-dye technique, these lungies feature vibrant colors and intricate check patterns, making each piece truly unique. With their lightweight and breathable fabric, they offer both comfort and style, making them perfect for everyday wear or special occasions, reflecting the region's rich textile heritage.",No,https://drive.google.com/file/d/1kRcWl73XWsmDUg4-DsyMzW4kLq0N9N-5/view?usp=drive_link,Ministry of Textile
Andhra Pradesh,Teracotta,Chittoor,503,Others,Handicraft,"Teracotta from Chittoor, Andhra Pradesh, showcases the region's rich artistic heritage and craftsmanship. Handcrafted by skilled artisans, these clay creations come to life with intricate detailing and earthy colors. From delicate figurines to functional pottery, each piece reflects the cultural traditions and stories of the region. Whether used as decorative accents or everyday utensils, Chittoor's teracotta products bring a touch of rustic charm and authenticity to any space.",No,https://drive.google.com/file/d/1lpsUI7qU9ymeGUphU654efvFZTWJVyVC/view?usp=drive_link,DC Handicraft
Andhra Pradesh,Natural banana fibres,Dr BR Ambedkar Konaseema,747,Others,Manufacturing,"Natural banana fibers from Dr. BR Ambedkar Konaseema, Andhra Pradesh, represent a sustainable and eco-friendly alternative to traditional textiles. Harvested from banana plants, these fibers are known for their strength, durability, and biodegradability. Handcrafted by skilled artisans, they are transformed into a range of products, from textiles to handicrafts, showcasing the region's commitment to environmental consciousness and traditional craftsmanship.",No,https://drive.google.com/file/d/1MA5tyG3ZEY6Avv_GJsmkQpFPJthJEuWq/view?usp=drive_link,MSME
Andhra Pradesh,Bandaru Lanka Sarees,Dr BR Ambedkar Konaseema,747,Others,Handloom,"Bandaru Lanka Sarees from Dr. BR Ambedkar Konaseema, Andhra Pradesh, are a celebration of tradition and elegance. Handwoven by skilled artisans, these sarees feature intricate motifs and vibrant colors that reflect the cultural richness of the region. Known for their soft texture and timeless appeal, each saree is a masterpiece that captures the essence of Andhra Pradesh's weaving heritage.",No,https://drive.google.com/file/d/1P3OjNGf0vjpdmaTO8VWaU0YFN2wl_UUN/view?usp=drive_link,DC Handloom
Andhra Pradesh,Angara Sarees,Dr BR Ambedkar Konaseema,747,Others,Handloom,"Angara Sarees from Dr. BR Ambedkar Konaseema, Andhra Pradesh, epitomize grace and tradition. Handwoven by skilled artisans, these sarees feature intricate zari work and vibrant hues that exude opulence. Each saree is a testament to the region's rich weaving heritage, showcasing impeccable craftsmanship and attention to detail. Perfect for special occasions, Angara Sarees add a touch of timeless elegance to any wardrobe, making them treasured heirlooms for generations to come.",No,https://drive.google.com/file/d/1P5vkrl6LNTEiUBFAT6MN-D24rOJT5LKU/view?usp=drive_link,DC Handloom
Andhra Pradesh,Coconut & Coir,Dr BR Ambedkar Konaseema,747,Primary,Agriculture,"Konaseema is a region located in the East Godavari district of Andhra Pradesh, India. It is known for its rich coconut and coir industry. The region is situated along the coast of Bay of Bengal and has a large number of coconut farms. Konaseema is one of the largest coconut producing regions in Andhra Pradesh.",No,https://drive.google.com/file/d/1N-TIzhAbPmiC2WAvfs1HSS-RWOkCrisF/view?usp=drive_link,Ministry of Agriculture & Farmers' Welfare
Andhra Pradesh,Shrimp,Dr. B. R. Ambedkar Konaseema,747,Secondary,Marine,"The district of Konaseema is known for its rich seafood culture, particularly for its shrimp. The region is situated along the coast of Bay of Bengal and has a large number of shrimp farms. The shrimp from Konaseema is known for its sweet taste, delicate texture and nutritional value. They are caught using traditional fishing methods and are known for their freshness and quality.",No,https://drive.google.com/file/d/1E8uEHDUDMMPiB7aNNjdxbzDRAaYRDttv/view?usp=drive_link,Department of Fisheries
Andhra Pradesh,Oil & Natural Gas,Dr. B. R. Ambedkar Konaseema,747,Tertiary,Others,"The district of Konaseema is known for its rich deposits of oil and natural gas. The region has a number of oil and gas fields that are operated by national and international oil companies. The oil and gas extracted from the fields are used to generate electricity, fuel vehicles, and to produce a wide variety of products.",No,https://drive.google.com/file/d/18EJ1tTln49s1K51Xx8tpgpXfcpr12hLf/view?usp=drive_link,Ministry of Petroleum & Natural Gas
Andhra Pradesh,Pasalapudi Sarees,Dr BR Ambedkar Konaseema,747,Others,Handloom,"Pasalapudi Sarees from Dr. BR Ambedkar Konaseema, Andhra Pradesh, epitomize traditional elegance. Handwoven by skilled artisans, these sarees boast intricate designs and vibrant colors inspired by the region's cultural heritage. Each saree is a work of art, meticulously crafted to perfection, reflecting the rich weaving tradition of Andhra Pradesh. With their lightweight and luxurious feel, Pasalapudi Sarees are ideal for special occasions, offering a timeless charm that captivates admirers.",No,https://drive.google.com/file/d/1bz9bSr9mSBbrsr7YOQE7JCv65-SMb6gV/view?usp=drive_link,DC Handloom
Andhra Pradesh,"Fruit Based Food Products (Pickles, Mango Jelly, Fruit Pulp, Cashew nuts, Lemon extracts)",East Godavari,505,Primary,Food processing,"With fertile soil and a favorable climate, East Godavari is ideal for growing an array of fruits like mangoes, lemons, cashew nuts, and others. The district has a thriving food processing industry that produces an extensive range of fruit-based products such as pickles, mango jelly, fruit pulp, cashews, and lemon extracts.",No,https://drive.google.com/file/d/1sTNaMIlKCcf2Pf9voHM5y1D-VvZCKz2v/view?usp=drive_link,Ministry of Food Processing
Andhra Pradesh,Ratnam Pens,East Godavari,505,Secondary,Manufacturing,"Ratnam pens from East Godavari, Andhra Pradesh, are synonymous with precision and craftsmanship. These meticulously crafted writing instruments boast a legacy of excellence, dating back generations. Handmade by skilled artisans, each pen combines traditional techniques with modern design, resulting in a seamless blend of functionality and elegance. Whether used for everyday writing or as a symbol of sophistication, Ratnam pens exemplify the artistry and ingenuity of Andhra Pradesh's pen-making tradition.",No,https://drive.google.com/file/d/1UPG64ld7xxPwXE0Qy05KRzGYAZeiAaqy/view?usp=drive_link,MSME
Andhra Pradesh,White Wood Birds,East Godavari,505,Tertiary,Handicraft,"White Wood Birds from East Godavari, Andhra Pradesh, are exquisite examples of traditional craftsmanship and natural beauty. Hand-carved by skilled artisans, these delicate birds capture the grace and charm of their real-life counterparts. Crafted from locally sourced white wood, each piece reflects the region's reverence for nature and commitment to sustainable practices. Perfect for home decor or as thoughtful gifts, these intricately detailed birds bring a touch of elegance and serenity to any space.",No,https://drive.google.com/file/d/11Dizmgbh_zwXGLbxZjgajiBuA3nCxCZg/view?usp=drive_link,DC Handicraft
Andhra Pradesh,Pulagurta Clothing Shirting & Sarees,East Godavari,505,Others,Textile,"Muramunda Cotton Shirting & Sarees from East Godavari, Andhra Pradesh, epitomize comfort and style. Handwoven by skilled artisans, these fabrics boast a soft texture and breathable feel, perfect for everyday wear. Featuring subtle patterns and earthy hues, each piece reflects the region's traditional weaving techniques and commitment to quality. Whether tailored into shirts or draped as sarees, Muramunda Cotton fabrics offer a blend of versatility and elegance, ideal for any occasion.",No,https://drive.google.com/file/d/1jUDWam5Pt9sP26db6Z-qEjPCk8uhHRVR/view?usp=drive_link,Ministry of Textile
Andhra Pradesh,Muramunda Cotton Shirting & Sarees,East Godavari,505,Others,Textile,"Muramunda Cotton Shirting & Sarees from East Godavari, Andhra Pradesh, epitomize comfort and style. Handwoven by skilled artisans, these fabrics boast a soft texture and breathable feel, perfect for everyday wear. Featuring subtle patterns and earthy hues, each piece reflects the region's traditional weaving techniques and commitment to quality. Whether tailored into shirts or draped as sarees, Muramunda Cotton fabrics offer a blend of versatility and elegance, ideal for any occasion.",No,https://drive.google.com/file/d/120Ux8O96SXOopSVWc_4s5AzkIPC-U6oT/view?usp=drive_link,Ministry of Textile
Andhra Pradesh,Veeravaram Silk Sarees,East Godavari,505,Others,Handloom,"Veeravaram Silk Sarees from East Godavari, Andhra Pradesh, are a symbol of timeless beauty and exquisite craftsmanship. Handwoven by skilled artisans, these sarees feature luxurious silk fabric adorned with intricate motifs and vibrant colors, reflecting the region's rich weaving tradition. Each saree exudes elegance and grace, making it a cherished attire for special occasions and celebrations. With their impeccable quality and stunning design, Veeravaram Silk Sarees are a true testament to Andhra Pradesh's heritage and artistry.",No,https://drive.google.com/file/d/10PgTy5c89m9Os1mvhvb6_GVilPU_L2K4/view?usp=drive_link,DC Handloom
Andhra Pradesh,Dulla Sarees,East Godavari,505,Others,Handloom,"Dulla Sarees from East Godavari, Andhra Pradesh, embody the essence of traditional elegance. Handcrafted by skilled artisans, these sarees feature intricate weaving and vibrant colors, reflecting the rich cultural heritage of the region. Adorned with traditional motifs and fine detailing, each saree is a masterpiece of craftsmanship, perfect for adding a touch of sophistication to any occasion. Dulla Sarees are a testament to the timeless beauty and exquisite artistry of Andhra Pradesh's textile tradition.",No,https://drive.google.com/file/d/13lsN_4OtzM9FZBqZaiNl_EwoZ6QA5Org/view?usp=drive_link,DC Handloom
Andhra Pradesh,Gold Jewellery,Eluru,748,Primary,Handicraft,"Eluru is a city located in the Indian state of Andhra Pradesh. It is known for its traditional gold jewelry industry. The city has a number of goldsmiths and jewelry artisans who are skilled in the craft of designing and making gold jewelry. The gold jewelry from Eluru is characterized by its intricate designs, traditional motifs, and high-quality craftsmanship.",No,https://drive.google.com/file/d/1djUIgrHYZm02dE-SSy6Qx5jNYnt86gGq/view?usp=drive_link,DC Handicraft
Andhra Pradesh,Hand Knotted Carpet weaving,Eluru,748,Secondary,Handicraft,"Hand-knotted carpet weaving in Eluru, Andhra Pradesh, represents a time-honored craft of exquisite skill and artistry. Expert weavers meticulously create each carpet, knot by knot, using traditional techniques passed down through generations. These carpets boast intricate patterns and vibrant colors, adding warmth and luxury to any space. With their exceptional quality and timeless beauty, Eluru's hand-knotted carpets are treasured pieces that reflect the region's rich weaving heritage.",No,https://drive.google.com/file/d/1qzkpKK7J3sgJBgiKdXUkypVEUD5UykOI/view?usp=drive_link,DC Handicraft
Andhra Pradesh,Walking Sticks,Eluru,748,Tertiary,Handicraft,"Walking sticks from Eluru, Andhra Pradesh, offer both practical support and artistic flair. Crafted by skilled artisans, each stick is meticulously shaped from sturdy materials, ensuring reliability on any terrain. These sticks are not only functional but also serve as stylish accessories, often adorned with intricate carvings or decorative accents. With their blend of utility and craftsmanship, Eluru's walking sticks are a testament to the region's tradition of fine woodworking.",No,https://drive.google.com/file/d/18kpTlZyRwhHEE16Eng26eQb1uVhjVObZ/view?usp=drive_link,DC Handicraft
Andhra Pradesh,Nuziveedu Veena,Eluru,748,Others,Handicraft,"The Nuziveedu Veena from Eluru, Andhra Pradesh, is a harmonious blend of tradition and artistry. Handcrafted by skilled artisans, each veena is meticulously carved from fine-quality wood, producing a rich and resonant tone. With its elegant design and impeccable craftsmanship, the Nuziveedu Veena is not just a musical instrument but a cultural symbol, reflecting the region's devotion to preserving the heritage of classical music for generations to come.",No,https://drive.google.com/file/d/1KdtPzDDd_u7UG83-9QEPoC07RhCuh9hT/view?usp=drive_link,DC Handicraft
Andhra Pradesh,Eluru Cotton Sarees,Eluru,748,Others,Handloom,"Eluru Cotton Sarees from Andhra Pradesh are renowned for their exquisite craftsmanship and comfort. Handwoven by skilled artisans in Eluru, these sarees boast a lightweight and breathable texture, perfect for warm climates. Adorned with intricate patterns and vibrant colors, each saree reflects the rich cultural heritage of the region. With their timeless appeal and exceptional quality, Eluru Cotton Sarees are a beloved choice for everyday wear, showcasing the artistry of Andhra Pradesh's weaving tradition.",No,https://drive.google.com/file/d/1YqN1YGiOusviwAR0kG5cpZPinwgRMOCR/view?usp=drive_link,DC Handloom
Andhra Pradesh,Chillies,Guntur,506,Primary,Agriculture,"Guntur chilli is a type of chili pepper that is grown in the Guntur region of Andhra Pradesh, India. It is known for its intense heat and pungent flavor. Guntur chilli is known for its deep red color, thin skin, and long shape, making it a popular choice for spice blends and powders. Additionally, it is also used to make hot sauces and pickles.",Yes,https://drive.google.com/file/d/1UpZGeVrPXTMxp9vDgMDWaMO9ajkaYonL/view?usp=drive_link,Ministry of Agriculture & Farmers' Welfare
Andhra Pradesh,Bronze Casting,Guntur,506,Secondary,Manufacturing,"Bronze casting in Guntur, Andhra Pradesh, is a revered craft that melds ancient techniques with contemporary artistry. Skilled artisans meticulously pour molten bronze into intricate molds, shaping exquisite sculptures, utensils, and decorative pieces. Each creation reflects the region's rich cultural heritage and artistic prowess, showcasing a seamless blend of tradition and innovation. From religious icons to modern sculptures, Guntur's bronze casting industry continues to captivate with its timeless beauty and craftsmanship.",No,https://drive.google.com/file/d/1ZKYCdkCfOrce02yZmZKvIbZokQV8FUtd/view?usp=drive_link,MSME
Andhra Pradesh,Mangalagiri Sarees and Fabric,Guntur,506,Tertiary,Handloom,"Mangalagiri Sarees and Fabric from Guntur, Andhra Pradesh, are revered for their elegance and fine craftsmanship. Handloomed by skilled artisans, these sarees feature distinctive motifs and rich colors, reflecting the region's cultural heritage. Known for their lightweight texture and subtle sheen, Mangalagiri fabrics are prized for their versatility and timeless appeal. Whether draped as a saree or tailored into garments, they exude sophistication, making them a cherished choice for special occasions.",Yes,https://drive.google.com/file/d/1WpOZXGvYbNwJVB0Io2HJoeSmPJpo_PCp/view?usp=drive_link,DC Handloom
Andhra Pradesh,Uppada Jamdani Sarees,Kakinada,746,Primary,Handloom,"Kakinada is a city located in the Indian state of Andhra Pradesh. It is known for its traditional handloom industry, particularly for Uppada Jamdani Sarees. These sarees are made using fine quality cotton yarns, and are handwoven using the traditional pit loom method. The sarees are characterized by their delicate patterns and motifs, which are created using the Jamdani technique.",Yes,https://drive.google.com/file/d/1oT2tw1nnQXimEgNlHZOlJV0C-8smTHFv/view?usp=drive_link,DC Handloom
Andhra Pradesh,"Peddapuram Silk Dhotis, Upper and shirtings",Kakinada,746,Secondary,Textile,"Peddapuram Silk Dhotis, Upper, and Shirtings from Kakinada, Andhra Pradesh, epitomize traditional elegance and superior craftsmanship. Woven from luxurious silk yarns by skilled artisans, these textiles boast intricate designs and vibrant colors that reflect the rich cultural heritage of the region. Whether worn as dhotis, upper garments, or tailored into shirts, each piece exudes sophistication and timeless charm, making it a cherished choice for formal occasions and celebrations.",No,https://drive.google.com/file/d/1X3yMwHlFuAZ74aJxFzWjfVzu-ElSU1vd/view?usp=drive_link,Ministry of Textile
Andhra Pradesh,Kalamkari Block Printing,Kakinada,746,Tertiary,Handloom,"Kalamkari Block Printing from Kakinada, Andhra Pradesh, is a revered art form that showcases intricate designs and vibrant colors. Skilled artisans meticulously carve wooden blocks to create unique patterns, which are then hand-printed onto fabric using natural dyes. Each piece tells a story, depicting traditional motifs and cultural narratives that reflect the region's rich heritage. With its meticulous craftsmanship and timeless beauty, Kalamkari Block Printing is a cherished tradition in Andhra Pradesh's textile industry.",No,https://drive.google.com/file/d/1skv238ECfJwCFeitKThph2vWG9omnpSz/view?usp=drive_link,DC Handloom
Andhra Pradesh,Cashew Kernel,Kakinada,746,Others,Agriculture,"Cashew kernels from Kakinada, Andhra Pradesh, embody quality and taste. Harvested from local cashew orchards, these kernels undergo meticulous processing to ensure freshness and flavor. Renowned for their creamy texture and nutty taste, they are a versatile ingredient in both sweet and savory dishes. Whether enjoyed as a snack or used in culinary creations, Kakinada's cashew kernels are a testament to the region's commitment to excellence in agriculture and food production.",No,https://drive.google.com/file/d/13mOKmmXfoOHn3S15jLsXB79RyTXcrK19/view?usp=drive_link,Ministry of Agriculture & Farmers' Welfare
Andhra Pradesh,Machilipatnam Kalamkari,Krishna,510,Primary,Handloom,"Machilipatnam Kalamkari is a traditional hand-painted or block-printed fabric art form that originated in the Krishna region of Andhra Pradesh, India. The art form is known for its intricate designs, which are created using a pen or a block, and depicts scenes from Hindu mythology, as well as floral and paisley patterns.",Yes,https://drive.google.com/file/d/1RleyJf23qYyJAqGr8qEMXOa2jAOt2Z_v/view?usp=drive_link,DC Handloom
Andhra Pradesh,Kalamkari Block Printing,Krishna,510,Secondary,Handloom,"Kalamkari Block Printing from Krishna, Andhra Pradesh, represents a timeless art form steeped in tradition. Skilled artisans meticulously hand-carve intricate designs onto wooden blocks, which are then used to print vibrant patterns onto fabric. Each piece tells a story through its motifs, often depicting mythological scenes or traditional narratives. With its rich colors and meticulous craftsmanship, Kalamkari Block Printing from Krishna is a celebrated emblem of the region's cultural heritage and artistic ingenuity.",Yes,https://drive.google.com/file/d/1skv238ECfJwCFeitKThph2vWG9omnpSz/view?usp=drive_link,DC Handloom
